EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,Rain Fall (In),DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,Latitude,Longitude,Wind Speed,Min Pressure,CAT,COUNTY RISK
5716389,CARTERET (ZONE),8/30/1999,0,Hurricane (Typhoon),8.3,0,0,0,0,NC,EST,2411425,Z,95,MHX,0,0,31.9,-78.1,90,964,1,0
5717543,CARTERET (ZONE),9/14/1999,2300,Hurricane (Typhoon),2.63,0,0,28000000,4000000,NC,EST,1087386,Z,95,MHX,0,0,26.64,-77.32,111,932,3,3
5717654,CARTERET (ZONE),10/16/1999,1700,Hurricane (Typhoon),0.9,0,0,0,0,NC,EST,1087389,Z,95,MHX,0,0,28.6,-79.9,65,984,0,0
5337058,CARTERET (ZONE),9/17/2003,1800,Hurricane (Typhoon),4,0,0,16000000,0,NC,EST,1163016,Z,95,MHX,0,0,30.6,-73,90,955,1,3
5421452,CARTERET (ZONE),8/3/2004,0,Hurricane (Typhoon),-999,0,0,25000,0,NC,EST,1179720,Z,95,MHX,0,0,32.4,-78.2,60,987,0,0
5421505,CARTERET (ZONE),8/14/2004,0,Hurricane (Typhoon),-999,0,0,250000,50000,NC,EST,1179724,Z,95,MHX,0,0,39,-73.5,20,1012,-1,1
5479211,CARTERET (ZONE),9/13/2005,1200,Hurricane (Typhoon),9.3,0,5,27900000,3000000,NC,EST,1199569,Z,95,MHX,0,0,32.1,-78,60,989,0,0
344855,CARTERET (ZONE),8/26/2011,0,Hurricane (Typhoon),9.8,0,0,25000000,10000000,NC,EST-5,57500,Z,95,MHX,0,0,27.7,-77.3,90,946,1,3
536929,CARTERET (ZONE),7/3/2014,1200,Hurricane (Typhoon),3.35,0,0,0,0,NC,EST-5,87288,Z,95,MHX,0,0,31.8,-78.8,80,981,1,2
787006,CARTERET (ZONE),9/13/2018,800,Hurricane,14.94,0,0,102800000,0,NC,EST-5,130979,Z,95,MHX,0,0,32.78,-74.66,97,954,2,3
